iter	Passed	Remaining
962	56589	2174
963	56642	2115
964	56698	2056
965	56757	1997
966	56812	1938
967	56866	1879
968	56929	1821
969	56957	1761
970	57010	1702
971	57067	1643
972	57123	1585
973	57180	1526
974	57236	1467
975	57295	1408
976	57350	1350
977	57409	1291
978	57465	1232
979	57519	1173
980	57575	1115
981	57642	1056
982	57694	997
983	57751	939
984	57808	880
985	57864	821
986	57920	762
987	57979	704
988	58035	645
989	58091	586
990	58146	528
991	58201	469
992	58257	410
993	58311	351
994	58366	293
995	58421	234
996	58477	175
997	58534	117
998	58592	58
999	58653	0
